City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,ulsteinvik,62.3432,5.8487,23.28,66,97,4.2,NO,1689426214
254,la sarre,48.8002,-79.1996,18.91,76,96,3.38,CA,1689426453
255,queenstown,-31.8976,26.8753,16.92,30,71,8.44,ZA,1689426162
256,st. john's,47.5649,-52.7093,24.53,68,28,4.45,CA,1689426443
257,karratha,-20.7377,116.8463,21.38,36,0,5.97,AU,1689426454
258,yulinshi,38.2906,109.7494,25.32,24,0,3.55,CN,1689426454
259,salalah,17.0151,54.0924,28.05,83,100,5.14,OM,1689426454
260,san antonio de pale,-1.4014,5.6325,23.25,84,6,4.53,GQ,1689426454
261,rio de janeiro,-22.9028,-43.2075,21.97,71,40,3.09,BR,1689426362
262,al lagowa,11.4,29.1333,32.6,44,100,4.86,SD,1689426455
263,benemerito de las americas,16.5167,-90.6439,22.83,98,78,0.66,MX,1689426455
264,prachuap khiri khan,12.2167,99.75,25.63,77,100,4.09,TH,1689426196
265,chonchi,-42.6128,-73.8092,3.95,93,89,0.86,CL,1689426164
266,yreka,41.7354,-122.6345,18.1,52,0,2.06,US,1689426455
267,caraballeda,10.6112,-66.8522,29.92,90,79,3.21,VE,1689426456
268,sisimiut,66.9395,-53.6735,5.05,97,100,3.73,GL,1689426456
269,mhamid,29.82,-5.72,43.63,5,84,8.36,MA,1689426456
270,katsuura,35.1333,140.3,25.2,92,100,10.05,JP,1689426456
271,arno,60.1167,18.6333,20.44,45,95,2.38,SE,1689426457
272,sabang,5.8933,95.3214,28.54,76,45,11.15,ID,1689426457
273,pindushi,62.9152,34.58,21.39,52,48,2.79,RU,1689426457
274,touros,-5.1989,-35.4608,28.85,67,11,6.55,BR,1689426457
275,zhuji,29.7188,120.2423,26.76,93,100,3.44,CN,1689426457
276,valenca do piaui,-6.4075,-41.7456,31.07,40,0,3.24,BR,1689426232
277,guerrero negro,27.9769,-114.0611,18.58,90,100,3.96,MX,1689426458
278,kargil,34.5667,76.1,22.89,24,91,3.1,IN,1689426458
279,padang,-0.9492,100.3543,26.03,83,100,1.16,ID,1689426458
280,new norfolk,-42.7826,147.0587,10.51,89,100,5.33,AU,1689426458
281,novyy urengoy,66.0833,76.6333,19.26,41,100,6.46,RU,1689426459
282,champerico,14.3,-91.9167,26.1,83,41,2.01,GT,1689426459
283,san pedro pochutla,15.7333,-96.4667,24.84,74,15,1.95,MX,1689426459
284,prakhon chai,14.6059,103.1208,29.39,62,85,3.17,TH,1689426459
285,murashi,59.3999,48.9615,13.98,77,100,1.74,RU,1689426460
286,changping,40.2186,116.2197,29.8,39,100,2.34,CN,1689426460
287,baro,8.6,6.4167,33.37,55,56,1.09,NG,1689426460
288,ruwandiz,36.6163,44.5311,40.46,11,0,3.24,IQ,1689426460
289,pangai,-19.8,-174.35,22.24,79,100,12.47,TO,1689426460
290,thompson,55.7435,-97.8558,7.09,100,100,4.63,CA,1689426105
291,polyarnyy,69.1989,33.4478,16.84,82,100,3.29,RU,1689426461
292,zaozersk,69.4005,32.4476,16.72,86,100,3.34,RU,1689426461
293,jackson,42.4165,-122.8345,19.93,62,0,1.54,US,1689426410
294,arkhangel'sk,64.5401,40.5433,24.52,41,89,3.09,RU,1689426461
